graph_size,graph_dimension,num_trials,runtime_secs,weight
128,0,1,0,1.1428882298586522
256,0,1,0,1.2135447904441583
512,0,1,0,1.2525851434803628
1024,0,1,0,1.1226674999320105
2048,0,1,0,1.1681825092512093
4096,0,1,0,1.1761781125887956
8192,0,1,2,1.2055420866070619
16384,0,1,11,1.2092991677726848
32768,0,1,96,1.2018413374092218
